EJA/2.FEVEREIRO/14/NP;1VKY-nwPOz7BLnuYmohCMrCgypPswcixG;https://drive.google.com/file/d/1VKY-nwPOz7BLnuYmohCMrCgypPswcixG/view?usp=share_link;EJA V MATEMÁTICA 14 02 2023 NÚMEROS NATURAIS E SISTEMA DE NUMERAÇÃO P3 NP.mp4;mp4
EJA/2.FEVEREIRO/14/NP;1cOnZfSSSzJmRIBLCbgmzRXlw93dKG2ox;https://drive.google.com/file/d/1cOnZfSSSzJmRIBLCbgmzRXlw93dKG2ox/view?usp=share_link;EJA VI FÍSICA 14 02 2023 ONDAS SONORAS E O SOM NP.mp4;mp4
EJA/2.FEVEREIRO/14/NP;10KABOYpbQMSMxMpvvVjkR-01_9NuptrV;https://drive.google.com/file/d/10KABOYpbQMSMxMpvvVjkR-01_9NuptrV/view?usp=share_link;EJA VI OFICINA DE LÍNGUA PORTUGUESA 14 02 2023 GÊNEROS TEXTUAIS NP.mp4;mp4
EJA/2.FEVEREIRO/14/NP;1rXMRW_FW84q4QettYN3D4ZePZ1UU7VrJ;https://drive.google.com/file/d/1rXMRW_FW84q4QettYN3D4ZePZ1UU7VrJ/view?usp=share_link;EJA VI OFICINA DE MATEMÁTICA 14 02 2023 EQUAÇÃO DO 1º GRAU NP.mp4;mp4
EJA/2.FEVEREIRO/14/NP;1Cole9XaFjfBkvZf3YYDrnk0C1_-LJffo;https://drive.google.com/file/d/1Cole9XaFjfBkvZf3YYDrnk0C1_-LJffo/view?usp=share_link;EJA VII FILOSOFIA 14 02 2023 A EXISTÊNCIA ÉTICA.mp4;mp4
EJA/2.FEVEREIRO/14/NP;13uyRaExkcWLW1szvZMm-uAFg0mCkaDoP;https://drive.google.com/file/d/13uyRaExkcWLW1szvZMm-uAFg0mCkaDoP/view?usp=share_link;EJA VII SOCIOLOGIA 14 02 2023 CULTURA E SOCIEDADE.mp4;mp4
EJA/2.FEVEREIRO/14;1EgMY-nAxmPAhWnuaXR65cu5gBrWYAXJa;https://drive.google.com/file/d/1EgMY-nAxmPAhWnuaXR65cu5gBrWYAXJa/view?usp=share_link;EJA V LÍNGUA PORTUGUESA 14 02 2023 ORTOGRAFIA ASPECTOS ORTOGRÁFICOS DA LÍNGUA PORTUGUESA P1.mp4;mp4
EJA/2.FEVEREIRO/14;1M9rIK-yUyq2qwBvo0TmN3C34TDaCZ0DX;https://drive.google.com/file/d/1M9rIK-yUyq2qwBvo0TmN3C34TDaCZ0DX/view?usp=share_link;EJA V LÍNGUA PORTUGUESA 14 02 2023 ORTOGRAFIA ASPECTOS ORTOGRÁFICOS DA LÍNGUA PORTUGUESA P2.mp4;mp4
EJA/2.FEVEREIRO/14;1i1UNjSRbJvlcuGCR8-3AYQtbkR1rW3yD;https://drive.google.com/file/d/1i1UNjSRbJvlcuGCR8-3AYQtbkR1rW3yD/view?usp=share_link;EJA V MATEMÁTICA 14 02 2023 NÚMEROS NATURAIS E SISTEMA DE NUMERAÇÃO P1.mp4;mp4
EJA/2.FEVEREIRO/14;1y-w-ozmYfZfQu6kvWAMav2PqngpviEsr;https://drive.google.com/file/d/1y-w-ozmYfZfQu6kvWAMav2PqngpviEsr/view?usp=share_link;EJA V MATEMÁTICA 14 02 2023 NÚMEROS NATURAIS E SISTEMA DE NUMERAÇÃO P2.mp4;mp4
